CustomerID,Gender,Age,MaritalStatus,AtFaultAccidents,MovingViolations,CompClaims,NumberOfClaims,LatePayments,PaymentMethod
8956,M,47,S,0,Yes,Yes,1,Yes,Bank Transfer
7317,M,71,S,0,Yes,Yes,1,Yes,Monthly Billing
6340,F,51,M,0,Yes,Yes,1,No,Annual Billing
4497,M,47,S,0,Yes,Yes,1,No,Bank Transfer
9217,M,37,M,1,Yes,Yes,4,No,Bank Transfer
1347,M,35,S,2,Yes,Yes,4,Yes,Monthly Billing
5080,M,39,M,0,Yes,Yes,3,Yes,Annual Billing
3588,M,24,M,0,Yes,Yes,5,No,Bank Transfer
2195,F,50,M,0,No,Yes,5,Yes,Monthly Billing
1895,F,58,S,0,Yes,Yes,1,No,Monthly Billing
1855,F,24,M,0,Yes,No,0,No,Bank Transfer
2598,M,44,M,0,Yes,Yes,4,Yes,Annual Billing
7170,F,46,S,0,Yes,Yes,5,No,Bank Transfer
5321,M,22,S,0,Yes,Yes,4,No,Bank Transfer
2086,M,38,S,0,Yes,Yes,4,No,Monthly Billing
7441,M,83,M,0,Yes,Yes,1,No,Annual Billing
7675,F,47,S,0,No,Yes,1,Yes,Annual Billing
3341,F,63,S,0,No,Yes,1,No,Bank Transfer
1275,M,23,M,1,Yes,Yes,5,Yes,Annual Billing
9409,F,47,S,0,Yes,Yes,1,Yes,Annual Billing
2069,F,20,S,0,Yes,No,0,No,Bank Transfer
8257,M,30,M,0,No,No,0,No,Annual Billing
9756,F,56,S,1,Yes,Yes,3,No,Annual Billing
4772,M,63,S,0,No,Yes,1,No,Annual Billing
4213,M,46,S,0,Yes,Yes,1,Yes,Bank Transfer
9656,M,58,S,0,Yes,Yes,1,Yes,Bank Transfer
4397,F,28,M,1,No,No,1,No,Bank Transfer
2712,F,18,S,1,Yes,Yes,4,Yes,Bank Transfer
4586,F,22,S,0,Yes,Yes,3,No,Annual Billing
5894,F,38,S,0,Yes,Yes,3,Yes,Bank Transfer
5114,M,26,S,0,Yes,No,0,No,Annual Billing
1314,M,35,M,0,Yes,Yes,1,No,Annual Billing
8985,M,75,M,0,Yes,Yes,1,Yes,Annual Billing
7570,F,53,M,0,Yes,Yes,2,No,Bank Transfer
3350,F,46,S,3,Yes,Yes,3,No,Bank Transfer
9285,F,45,M,0,Yes,Yes,1,No,Monthly Billing
3913,M,33,S,2,Yes,Yes,4,No,Bank Transfer
4393,F,56,S,0,Yes,Yes,4,No,Annual Billing
6378,F,29,M,0,No,Yes,1,Yes,Bank Transfer
4988,M,19,S,0,Yes,Yes,2,No,Bank Transfer
4851,M,60,M,0,Yes,Yes,1,No,Annual Billing
3934,F,81,M,0,Yes,Yes,1,No,Bank Transfer
3308,M,35,M,0,Yes,No,0,No,Monthly Billing
1076,F,42,S,0,Yes,Yes,1,No,Monthly Billing
1012,M,53,S,0,Yes,Yes,1,No,Annual Billing
2888,M,49,M,0,No,Yes,1,Yes,Bank Transfer
9947,M,34,M,0,No,No,0,Yes,Bank Transfer
5372,F,57,S,2,Yes,Yes,2,No,Annual Billing
4720,F,45,M,0,Yes,Yes,1,Yes,Annual Billing
8440,F,28,M,0,Yes,Yes,3,Yes,Annual Billing
3606,F,58,M,2,Yes,Yes,5,No,Annual Billing
5972,F,18,M,0,No,Yes,1,Yes,Annual Billing
4106,M,37,S,2,Yes,Yes,3,Yes,Bank Transfer
9529,M,60,S,0,Yes,Yes,2,Yes,Annual Billing
6667,M,21,M,1,Yes,Yes,3,No,Annual Billing
1356,F,79,M,2,No,Yes,4,Yes,Annual Billing
9839,F,37,S,0,Yes,No,0,No,Bank Transfer
1440,M,36,S,2,No,Yes,5,Yes,Annual Billing
8858,M,39,S,0,Yes,No,0,No,Monthly Billing
8384,M,53,M,0,Yes,Yes,1,No,Annual Billing
2359,F,43,M,0,Yes,Yes,1,No,Annual Billing
5839,M,57,M,3,Yes,Yes,3,No,Annual Billing
1857,F,53,M,0,Yes,Yes,2,Yes,Bank Transfer
4905,F,41,S,0,Yes,Yes,3,No,Monthly Billing
4480,M,41,M,0,Yes,No,0,No,Monthly Billing
8034,M,21,M,0,Yes,Yes,3,No,Monthly Billing
1945,F,62,S,0,Yes,Yes,4,Yes,Monthly Billing
5555,F,56,M,0,Yes,Yes,2,Yes,Bank Transfer
