CustomerID,Gender,Age,MaritalStatus,AtFaultAccidents,MovingViolations,CompClaims,NumberOfClaims,LatePayments,PaymentMethod,InsuranceCategory
6255,M,36,M,0,Yes,Yes,1,No,Monthly Billing,Moderate Risk
6730,M,47,S,3,Yes,Yes,3,Yes,Annual Billing,High Risk - Do Not Insure
7863,M,49,M,3,Yes,Yes,3,Yes,Monthly Billing,Potentially High Risk
5452,M,26,M,1,Yes,Yes,1,No,Annual Billing,Moderate Risk
7950,F,50,M,2,Yes,No,2,No,Annual Billing,Potentially High Risk
7077,M,65,S,1,Yes,No,1,Yes,Monthly Billing,Moderate Risk
5359,F,26,M,0,No,No,2,No,Bank Transfer,Low Risk
2717,M,27,M,1,No,No,2,No,Monthly Billing,Moderate Risk
9830,F,23,S,2,Yes,No,2,Yes,Annual Billing,Potentially High Risk
2561,F,32,M,2,Yes,Yes,2,Yes,Monthly Billing,High Risk - Do Not Insure
1099,M,45,S,1,Yes,Yes,4,No,Annual Billing,Moderate Risk
2242,M,31,M,3,Yes,Yes,3,Yes,Monthly Billing,High Risk - Do Not Insure
8536,F,28,M,0,No,No,0,No,Bank Transfer,Low Risk
5693,M,21,S,3,Yes,No,3,Yes,Annual Billing,Potentially High Risk
4025,M,34,S,2,Yes,No,2,Yes,Monthly Billing,Potentially High Risk
7508,M,45,S,0,Yes,Yes,1,No,Bank Transfer,Low Risk
6551,F,55,S,1,Yes,No,2,No,Monthly Billing,Potentially High Risk
9555,M,54,S,1,No,Yes,3,Yes,Monthly Billing,Potentially High Risk
6037,F,42,M,3,Yes,No,3,Yes,Annual Billing,Potentially High Risk
6511,M,56,M,0,Yes,No,2,Yes,Monthly Billing,Moderate Risk
5182,M,41,M,1,Yes,Yes,2,Yes,Monthly Billing,High Risk - Do Not Insure
3471,M,32,S,0,Yes,Yes,3,Yes,Bank Transfer,Moderate Risk
2853,M,44,M,3,Yes,Yes,3,Yes,Monthly Billing,Potentially High Risk
1943,F,25,M,0,Yes,No,2,Yes,Monthly Billing,Moderate Risk
